X,HR_TD_Mean,HR_TD_Median,HR_TD_std,HR_TD_Min,HR_TD_Max,HR_TD_AUC,HR_TD_Kurtosis,HR_TD_Skew,HR_TD_Slope_min,HR_TD_Slope_max,HR_TD_Slope_mean,HR_TD_Slope,TEMP_TD_Mean,TEMP_TD_Median,TEMP_TD_std,TEMP_TD_Min,TEMP_TD_Max,TEMP_TD_AUC,TEMP_TD_Kurtosis,TEMP_TD_Skew,TEMP_TD_Slope_min,TEMP_TD_Slope_max,TEMP_TD_Slope_mean,TEMP_TD_Slope,EDA_TD_P_Mean,EDA_TD_P_Median,EDA_TD_P_std,EDA_TD_P_Min,EDA_TD_P_Max,EDA_TD_P_AUC,EDA_TD_P_Kurtosis,EDA_TD_P_Skew,EDA_TD_P_Slope_min,EDA_TD_P_Slope_max,EDA_TD_P_Slope_mean,EDA_TD_P_Slope,EDA_TD_T_Mean,EDA_TD_T_Median,EDA_TD_T_std,EDA_TD_T_Min,EDA_TD_T_Max,EDA_TD_T_AUC,EDA_TD_T_Kurtosis,EDA_TD_T_Skew,EDA_TD_T_Slope_min,EDA_TD_T_Slope_max,EDA_TD_T_Slope_mean,EDA_TD_T_Slope,EDA_TD_P_Peaks,EDA_TD_P_RT,EDA_TD_P_ReT,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined
-61.498911564108845,-0.1034489687203288,-0.4445627718402901,1.9763355955763702,-1.162057292000473,1.2228852648758493,0.6596116578255989,0.03568226605075577,0.850594752020064,-1.584709151970445,1.4674474410304015,-0.06365339791754866,-0.12128525268222144,-2.1077038788493807,-2.098147426596026,-0.4832585469459041,-2.076040369195773,-2.1633242039556144,0.16525619715880754,0.35465634849738925,-0.66278943163231685,0.4584639066756097,-0.3051429200839209,-0.42021885558539734,-0.47742689990511195,-0.2952559337038937,-0.18025275676490954,-0.6641654168466543,0.020492202189482212,-0.7487373191158976,-0.2732747581165093,-0.2539434282915631,-0.3439152713302024,0.7307052835815193,-0.7236479206480192,-0.21302718622898423,-0.017165312665896777,-0.5844151833744263,-0.5806819954467308,-0.662669649736698,-0.4064758715665001,-0.6508815635453692,-0.5261789458226189,-0.2558292521080371,0.019664992906363553,0.7936372589292091,-0.7748233940761234,0.24936066680526064,0.18784105055420483,1.113257721438232,-0.8281035026267923,-0.5196496128571682,4,1,1,4,1,3,1,4,1,4,4
-60.50156122212076,-0.6711386801416895,-0.6730188065608685,-0.43909976041319887,-0.3128661306843482,-0.752224223651642,1.0558137157206737,-0.5868418623260179,0.21997884889601474,0.5537687926607028,-0.9628452137285053,0.027038165443649335,0.12682765715699618,-1.592254956197856,-1.5601081812290196,-0.061230730191859574,-1.6267766859278014,-1.6579750984514743,1.730957694450749,-0.6719836438667589,-1.9401679999352544,0.36267098653467245,-0.3141640453964907,-0.39075349249358265,-0.3612560969977936,-0.5018011853843413,-0.35538406577289455,-0.8516662360488093,-0.2838846147012219,-0.7908196687770064,-0.4582870486721518,1.853977852384478,1.5789624341707829,0.7360781096757958,-0.756695726953292,-0.3582184871267382,0.010667548782106339,-0.6001348062264786,-0.5937491315322576,-0.7725491850653426,-0.3756177438034465,-0.7044599018636656,-0.4897526490818149,-0.036100235528979445,-0.018039761872087726,0.8816119221105924,-0.9136096299180978,0.0642040243479074,-0.001015734975783596,-0.1058560599938762,-0.5473527309982006,0.20490936702613843,1,1,1,3,1,3,2,3,1,2,2
-59.500238051568154,0.511921545494199,0.6268324476016809,-0.6511023164256471,0.863358173100356,-0.20033329310998793,0.394737641305292,-0.04323782968033005,-0.6529707267812436,0.6327821775213819,-0.5392749413794509,0.12002177351024712,0.1575532716611466,1.2536913602160562,1.2463157334329191,-0.16884956774706356,1.2859560870817424,1.236569584723418,0.513357904867574,-0.6735055490450386,0.6179800210897968,0.7951165746617989,-0.30961978028651405,0.3290859452534582,0.3409760794076431,-0.529289169417678,-0.4738544681788263,-0.6066733290220431,0.29390996907056816,-0.5172649652904714,-0.5355861322271627,0.1693376930634827,0.2754397576170079,0.4288086778129219,-0.45240906419223875,-0.45091995910434973,-0.484838028988589,-0.66684351974851,-0.68288456746375,-0.5499587499333936,-0.5145427300459186,-0.6571779620739105,-0.6732491200316892,-0.17482495225966063,0.48409089599139205,0.5673548762188388,-0.5287505497032926,0.07656617963752718,0.04692742965915603,-0.14753965735205066,-0.14703184685537413,0.0829513429369556,3,1,1,1,1,1,1,2,1,2,2
-58.500385346903435,0.14129838253351348,0.16395907367229645,0.03695555542806421,0.0676036187402547,-0.03881011746676766,0.187758217774012,-0.3279138796365952,-0.5332872334474056,0.1473250325943246,-0.1075680421755852,-0.12376766724724918,-0.10835760881988316,1.2070082714889065,1.1983951619905373,-0.4457024675582746,1.2591850947539207,1.1721257234138585,0.6498770564439614,-0.20770592336293037,0.6759807529869888,0.9792235223457547,-0.5337046716233894,0.23405690881372299,0.22209161254245618,-0.5162358637387474,-0.4352325554382197,-0.671245606760193,-0.18120121200867303,-0.5973752085349895,-0.5187639240734102,-0.08323425055572732,0.006388695874968836,0.4776150045491286,-0.5212066345854326,-0.509888332155022,-0.34999407991522796,-0.654316830283146,-0.6765169854126886,-0.5496271960177818,-0.48579476325151766,-0.6378309440116811,-0.6466680538623064,-0.37514516312000584,0.5775417076599866,0.6188065199923437,-0.5459009255876435,-0.0030134699613585153,-0.034898654596547014,0.04112571922652185,0.17158400440670954,0.35494982524572116,4,2,1,1,2,2,1,3,1,2,2
-57.50111215093465,0.3541814069789353,0.31993274390651,0.6178055845759957,-0.0496360640877882,0.4231815773779223,0.038775731322609544,-0.58127916609768715,-0.7754082717651661,-0.29976758745373655,0.010760855303370625,-0.6551544857235766,-0.6425035234660978,1.0714311213136094,1.0528544999403726,-0.6024676060964611,1.15507454162713,1.0437624985503282,0.08516980598265543,0.10371840961168122,1.329336912093427,0.9295703672832353,-0.4422326869611635,0.32114595719015837,0.27872144924589864,-0.43644267598781955,-0.3800385935956142,-0.5741373025323686,0.5132337526405274,-0.5520854216122684,-0.44943662594002926,-1.0850560776854539,-0.8751950569106766,0.4881795036309336,-0.508899636073104,-0.4428779523575192,-0.5420401076743547,-0.6889372346374346,-0.7113314374230791,-0.5505863756423474,-0.5215694821696045,-0.660185316870542,-0.7112024550538278,-0.45802698870808073,0.6297155340381946,0.5598640170028703,-0.5040620452200153,0.07555663681897738,0.05101797558245836,0.6099119715104208,-0.4483044237674002,-0.3158562727517599,3,1,1,1,1,2,1,2,1,2,3
-56.500900590158935,0.5126002730070343,0.6671722273224473,-0.7082639864749861,0.9182379633732485,-0.3123447494487589,0.7493303572312523,-0.3064907144320664,-0.5796064216273968,0.4539429671976408,-1.0504791061511998,-0.17696006647533546,-0.058617933536689364,0.885134449046322,0.8850921428085483,0.06122085941433799,0.8850329462097231,0.8718471076049563,0.886648094546074,-0.9733468901592968,-0.004928735337255727,0.9248285894152171,-0.08150867284993465,0.7802718034892675,0.820828416711552,-0.535787486970717,-0.42853675448914724,-0.6806166488877751,-0.12420325026575008,-0.49585624341798484,-0.5330856549243266,2.0419408204134677,1.9502528072015408,0.3494133403738138,-0.3634671373737869,-0.4821818780419517,-0.4176805418176499,-0.6501740976185064,-0.6628716396898049,-0.5515625990058838,-0.5228007760480309,-0.664520537756298,-0.6272088521465772,0.38134700762449636,0.14763166667522093,0.6015269471404687,-0.5453239361098503,0.037406463562586006,0.0036547784904607545,-1.3307667798450045,0.5130997606359472,0.99437007666376,4,1,1,1,1,2,1,2,1,2,2
-55.50021915177297,0.45513218412602513,0.538505944092776,-0.46223028298764596,0.6699538445242316,-0.14486423814632962,0.8518210142612382,-0.34027165159945777,-0.8663533964214538,0.6174383996971596,-0.5457658872855642,0.44238175308768457,0.498200237876045,0.5314303246127006,0.5265574033556047,-0.15630843005921152,0.5568239226508496,0.5094200180426295,0.940647350159885,-0.6285047014861953,0.3203715393241886,1.1652837322810135,-0.07817622200636333,0.7204760041409399,0.7042566379518491,-0.43019014933516636,-0.36019884710432204,-0.6195071308627417,0.3353052730495819,-0.5953926342766438,-0.42319721344366923,-0.741678509669821,-0.6165067676576397,0.5355895481978561,-0.5559257415623261,-0.3184956017086535,-0.30639598874886986,-0.6996611960849198,-0.7081707570625208,-0.5789527236866783,-0.5399189135752032,-0.6942548619744315,-0.6799493206548959,-0.21759852525232268,0.39340346393947123,0.6309983641955159,-0.6115654259408482,0.1892299040515617,0.14846024106298883,0.9030215361166111,-0.8085225233515378,-0.6929833988726573,1,1,1,2,1,2,1,3,1,3,3
-54.49920473737066,0.5464113481218232,0.6826680638075558,-0.7917510650229332,0.941257650638119,-0.2210227172355698,0.6142439426440846,0.02881750078425812,-0.8185803307872273,0.8626271211751356,-0.487743495900555,0.745844817412042,0.7735169926254122,0.32336895471901006,0.3189115093470609,-0.3434544722481712,0.36241110259223136,0.2877352582269634,0.3592121147327079,-0.12976877278910132,0.30883347679767376,0.9593947219493321,-0.10243470813204372,0.5353650126235578,0.5050285311945736,-0.4255316585660753,-0.36957941929606064,-0.5858857804631641,0.4667566912281164,-0.5971073917287768,-0.4273083890181824,-0.9252420289824976,-0.7821845032368286,0.5446311159783642,-0.5698241674222365,-0.32214437032316273,-0.3319353741078324,-0.6953723907319918,-0.7026271861170499,-0.5471496872826179,-0.5416807177126174,-0.6863179729492793,-0.6957137422404602,-0.38107606397659316,0.49165396928139937,0.6278367931012514,-0.600869143567265,0.1958435216484766,0.15320580687020105,0.8245111360380355,-0.7242711618174035,-0.7317211186915213,4,1,1,1,1,2,1,2,1,1,3
-53.50291767474046,1.0029355956326758,1.1924994528444979,-0.9615723505176186,1.4169497384388172,-0.10050435950434627,0.5709313531056244,0.3834556951222701,-0.835189037145648,0.7525775869908882,-0.03741086697618943,1.3298852736812383,1.3444416770422305,1.462857717046562,1.4650653399706837,-0.7856768496440043,1.524834737433543,1.3781561028505036,0.24245402992516385,0.1388841429955928,0.11112684183755477,0.55567479336301,-0.8137090145709119,-0.3562400330516955,-0.35634757379030535,-0.5522591793936009,-0.5137361310003846,-0.5407142708649749,0.7137100986953171,-0.42930274960588566,-0.5661444860622834,0.6419466528411709,0.7178240109526963,0.3517065993318418,-0.3731400149254299,-0.5765141684021088,-0.7114743586564392,-0.7263706143658778,-0.7398672184107209,-0.6078762420690681,-0.6266104369354117,-0.7344683782144167,-0.7445895430484142,0.3713829613344428,-0.013760408884461287,0.47431637501418045,-0.37855199285820007,0.054025233685224786,0.03017164745621511,-0.4999470874631013,-0.36728919822889866,-0.00974703171238328,4,1,1,1,1,2,1,2,1,2,2
-52.49931616204324,0.23556014009449894,0.34811449132697425,-0.10690282392394673,0.20848849611351736,-0.1107138116196961,0.8405497914200453,-0.48748188623413,-0.8283398551073153,0.08587022044978221,-0.704089319420654,0.04860988354596823,0.15308642574396153,1.4473717471157062,1.4546306368822217,-1.0336580796426387,1.483309228768538,1.3542376802456269,1.6071621223777457,2.2104864905194996,-0.6534579958790905,0.5342194787084786,-0.34273987445253196,0.21159357553268093,0.1708168307715805,-0.366780951469225,-0.23747098213005474,-0.6678788326224362,0.14361453707684085,-0.569176510180926,-0.36093543227697045,0.3113957125605241,0.2583540650331455,0.4416081671062865,-0.5151670875050047,-0.7162738233515745,-0.5784105918390813,-0.6998624013892264,-0.7272475248818828,-0.538932620393079,-0.5758092749439758,-0.6892801511887454,-0.653859203270353,-0.056037890566435176,0.10022091264720359,0.6180107426797488,-0.39929275228021555,0.15636151430031398,0.1330071896249522,0.016214550700040603,-0.38828550352704533,0.24836666586439873,1,1,1,1,1,3,1,3,1,3,3
-51.50156986878501,0.5298024984420834,0.5473047122519568,-0.4625641663704775,0.9790307417078099,0.1388584329284248,0.4700070807243539,0.9635833757648621,0.5219426380665861,0.146744891661032,-0.3906282481103565,-0.35947391481518876,-0.3388205494956857,1.4630171964459409,1.462103794485517,-0.15530050284964242,1.4763370227387027,1.43525612433331,0.7063926906426669,-0.5645487646542147,0.051753651550193486,0.7332602090591346,-0.33363805921726203,0.21751714535614558,0.2546022552341845,-0.5627361682561818,-0.47477672668023285,-0.6857197454439645,0.023584360010466928,-0.5155414405051199,-0.5662402209981763,1.476724141445585,1.4436799770697228,0.4005513138888894,-0.4246999794485028,-0.5243047732530204,-0.5459800820881907,-0.6379411942197069,-0.6608708093504149,-0.5511289280165571,-0.4647154937567488,-0.6303124487859268,-0.6318014948358658,-0.34233201333548796,0.6981034422706061,0.6607867726437866,-0.5934517922384964,0.019590691869534247,-0.011383940048077745,-0.9242690823461586,0.12048795927842994,0.7524034295986999,3,1,1,1,1,2,1,3,1,2,3
-50.501595132104114,0.825164885607091,0.9449730061709413,-0.6259718975363004,1.1265784836130315,0.01829739600132548,1.4626985274008435,0.3665405334535521,-0.7279930716686213,-0.6547072422670275,-0.7276490034822863,0.3416461305540584,0.5480371463038368,0.10459217339368468,0.12889178705911894,0.44261737923859623,0.02279041905583151,0.08429946289839055,1.2616232848735383,-0.7577040492733966,-1.6874414806582188,-0.6605115547283521,0.5340124724371065,-0.12865731310738526,-0.013690299633799058,-0.9304195206555168,-1.0267388388161576,-0.20846473192534123,-0.47015534388563535,-0.15657256035029146,-0.9388144341601733,0.9195949529697748,1.3262572144072715,0.09218234918962266,-0.10720352581886769,-0.940505547026898,-0.7195192588020927,-0.6584206476367208,-0.5758762083063536,-0.7439517002390864,-1.0780256802730503,-0.9102814715818875,-0.6508567775729407,5.58191839758046,-5.461626312160814,-0.5977234535285183,0.5802503222590378,-0.04514882587304593,8.641803126826944e-4,-1.8222417886707867,1.6884581448836646,1.4032133073505821,3,1,1,1,1,2,1,2,1,1,2
-49.5013130494481,0.623267512713963,0.5828426421829339,0.006106911386102898,0.7551652969667001,0.3495805772252757,1.9908834666255544,-0.005350989743714859,-0.17619952457913354,-0.14284736274508944,-0.7846164693808133,-0.03867449825764244,0.09896321401761853,-0.10429778655875013,-0.09509488178546145,0.37841892315439196,-0.16002992048661657,-0.10419190685476705,2.1793292826371,-0.7016499537929267,-0.9884973700582548,0.9642967957575599,0.6453612286974131,1.0934172393019737,1.123377493326967,-0.5697532500353012,-0.4837741037906993,-0.7182404935623584,-0.2322967361851226,-0.6794830476978835,-0.5402056136011084,-0.09719638362019496,3.2510565845748755e-4,0.6109101423337029,-0.6269198220950185,-0.4495760733257445,-0.24555086005738794,-0.6393036597231981,-0.6243525541549442,-0.7121812590032576,-0.5377134359329928,-0.7291460175622054,-0.562666361498235,0.9584228512937638,-0.9283436922409944,0.5917376347462212,-0.5872337475016973,0.19952067060452724,0.1587597996127846,0.6914302591953606,-0.5712649350824607,-0.25321398536977646,2,1,1,1,1,3,1,2,1,3,3
-48.50048569843278,0.10655048692898461,0.14748819787569448,-0.6266649227870522,0.7298741569961283,0.010511128199865785,2.0248881162031482,1.260449267969121,0.9828820374956083,0.13206024169602645,-1.1966516622401817,0.3911828114898876,0.5253674075588378,-0.8150553272481508,-0.7816445776889202,-0.04684837174641095,-0.9307466911296847,-0.8515207251008653,2.521794918279705,3.2864171916803127,-3.146699302940386,-0.38260660226399446,1.3106237977233923,0.7680339049175899,0.7481979902948727,-0.35247317719539173,-0.17026285098047117,-0.8524762137526478,-0.08455326855671327,-0.8413706597803823,-0.3156366845085058,0.6793232997810394,0.4591972399146773,0.7758361741081651,-0.8563643440477616,-0.6297244676800744,-0.2916566009725598,-0.603935330174265,-0.5999253604615845,-0.7020628085706478,-0.4205857348835169,-0.6962390259298984,-0.48551650660769186,-0.2033989446599469,-0.2506232743111577,0.8811578523419465,-0.7902441988933584,0.019968195295944322,-0.04208239042752279,0.4959791576083631,-1.0844001045738576,-0.16116394140803567,1,1,1,2,1,2,2,3,1,2,3
